theme_number,theme_name,chapter_number,chapter_name,question_id,question_number,points,question_text,options,correct_answers,comment,image_paths,video_paths,url
Tema 1.1.,Tehlike Oegretimi,1.1.01 Bölüm,Trafik Davranisinin Temel Bicimleri,1.1.01-001,1.1.01-001,4 Puan,"Defansif araç kullanmak, ne anlama gelmektedir?",A. Kendi hakkı üzerinde ısrar etmemek; B. Diğerlerinin yapabilecekleri muhtemel hataları gözönünde bulundurmak; C. Her ihtimale karşı her kavşakta durmak,A. Kendi hakkı üzerinde ısrar etmemek; B. Diğerlerinin yapabilecekleri muhtemel hataları gözönünde bulundurmak,"Defansif sürüş, bir yandan, karayolu trafiğindeki öncelik haklarınız konusunda ısrar etmediğiniz ve bir yandan da diğer yol kullanıcılarının olası hatalarını göz önünde bulunduracağınız anlamına gelir. Bu nedenle, aşırı dikkatli bir şekilde araba kullanmanıza gerek yok — bu da sizin için bir risk oluşturabilir ve trafik akışını engelleyebilir. Defansif sürüş demek, kendinizden kaynaklanan veya dışarıdan gelebilecek tehlikelere karşı kendinizi en iyi şekilde hazırlamak ve böylece onları zamanında önlemektir. Bunu, örneğin, trafik ışığında arkadan çarpışmayı önlemek için yeterince erken fren yaparak gerçekleştirebilirsiniz. Genel olarak yavaşlama, sizi anın heyecanı ile trafik ışık aşamasını yanlış değerlendiren veya sola ve sağa karıştıran sürücülerden korur.",,,https://www.clickclickdrive.de/fragenkatalog/tr/1.1.-tehlike-oegretimi/1.1.01-trafik-davranisinin-temel-bicimleri/1.1.01-001
Tema 1.1.,Tehlike Oegretimi,1.1.01 Bölüm,Trafik Davranisinin Temel Bicimleri,1.1.01-002,1.1.01-002,4 Puan,Arkadaki taşıdın öndeki taşıda çarpması suretiyle kaza yapmasının nedenleri neler olabilir?,A. Beklenmedik sıkı fren yapılması; B. Dikkatsizlik; C. Öndeki araca çok yaklaşmak,A. Beklenmedik sıkı fren yapılması; B. Dikkatsizlik; C. Öndeki araca çok yaklaşmak,"Arkadan çarpmaya yol açan birçok olası durum var. Birisi aniden ve beklenmedik bir biçimde fren yaparsa, bir çarpışma meydaha gelebilir. Çok yakın sürüş de arkadan çarpmaların en yaygın nedenlerinden biridir, özellikle arkadaki sürücünün dikkati dağınık ve odaklanmamış ise. Yeterince büyük bir güvenlik mesafesi, bu tür risklerden kaçınmaya yardımcı olabilir.",,,https://www.clickclickdrive.de/fragenkatalog/tr/1.1.-tehlike-oegretimi/1.1.01-trafik-davranisinin-temel-bicimleri/1.1.01-002
Tema 1.1.,Tehlike Oegretimi,1.1.01 Bölüm,Trafik Davranisinin Temel Bicimleri,1.1.01-003,1.1.01-003,2 Puan,"Hangisi ""ileriyi görebilen bir sürücünün"" davranışlarına bir örnektir?",A. Trafik durumundaki muhtemel değişikliklere mümkün mertebe erkenden tepki veririm; B. Trafikteki diğer katılımcıların niyetlerini mümkün mertebe erkenden fark etmeye çalışırım; C. Trafikteki dikkatimi mümkün mertebe doğrudan önümde gitmekte olan araçla sınırlandırırım,A. Trafik durumundaki muhtemel değişikliklere mümkün mertebe erkenden tepki veririm; B. Trafikteki diğer katılımcıların niyetlerini mümkün mertebe erkenden fark etmeye çalışırım,Karayolu güvenliği söz konusu olduğunda öngörü ile sürüş esastır. Gerektiğinde hemen tepki verebilmeniz için doğrudan önünüzde sürüş yapan araçlara daima dikkat etmelisiniz. Aynısı etrafınızdaki trafik katılımcıları için de geçerlidir.,,,https://www.clickclickdrive.de/fragenkatalog/tr/1.1.-tehlike-oegretimi/1.1.01-trafik-davranisinin-temel-bicimleri/1.1.01-003
Tema 1.1.,Tehlike Oegretimi,1.1.01 Bölüm,Trafik Davranisinin Temel Bicimleri,1.1.01-004,1.1.01-004,3 Puan,Bilmediğiniz bir motorlu aracı kullanmanız gerekiyor. Bu durumda niçin özellikle çok dikkatli olmanız gerekir?,A. - Kullanım elementleri talimatı ve işlevi; B. - Fren durumu; C. - Aracı yönlendirme,A. - Kullanım elementleri talimatı ve işlevi; B. - Fren durumu; C. - Aracı yönlendirme,"Her sürücü kendi aracının sürüş ve özelliklerine alışkındır. Her aracın kendi özel ağırlık merkezi, boyutları ve ağırlığı nedeniyle farklı sürüşü vardır. Birebir aynı modellerin bile debriyaj, viraj tutuşu ve frenleme mesafesi bile farklılık gösterebilir. Sürücü, bu özelliklerin yanı sıra konsolda yer alan kontrol elementlerine de aynı şekilde halim olmalıdır.",,,https://www.clickclickdrive.de/fragenkatalog/tr/1.1.-tehlike-oegretimi/1.1.01-trafik-davranisinin-temel-bicimleri/1.1.01-004
Tema 1.1.,Tehlike Oegretimi,1.1.01 Bölüm,Trafik Davranisinin Temel Bicimleri,1.1.01-101,1.1.01-101,3 Puan,"Taşıdınızla bir yerleşim yerinde giderken, önünüzde başka bir şehir plakası taşıyan bir aracın gittiğini farzedin. Hangi durumlarla karşılaşabilirsiniz?","A. - ansızın fren yapabilir; B. - yön değiştirmeden önce, sinyalini geç verebilir; C. - yol sormak için ansızın durabilir","A. - ansızın fren yapabilir; B. - yön değiştirmeden önce, sinyalini geç verebilir; C. - yol sormak için ansızın durabilir","Yerli olmayan bir yol kullanıcısını araç plakasından belirlerseniz, bu sürücünün yer yön bilgi eksikliği nedeniyle beklenmedik manevralar meydana gelebileceğini önceden tahmin etmelisiniz. Örneğin, böyle bir sürücü açık bir yolda aniden durup bir yayadan yol tarifi isteyebilir. Ayrıca, yerli olmayan sürücülerin doğru yolu geç fark etmesi nedeniyle virajlardan, kavşaklardan ve çıkışlardan önce geç fren yapması veya sinyal vermesi beklenebilir.",,,https://www.clickclickdrive.de/fragenkatalog/tr/1.1.-tehlike-oegretimi/1.1.01-trafik-davranisinin-temel-bicimleri/1.1.01-101
Tema 1.1.,Tehlike Oegretimi,1.1.01 Bölüm,Trafik Davranisinin Temel Bicimleri,1.1.01-102,1.1.01-102,3 Puan,Akan trafikte önlenebilir engeller nelerdir?,A. Motorun stop etmesi; B. Geçerli bir neden olmadan yavaş araç kullanma; C. Yakıt tükenmesi nedeniyle aracın durması,A. Motorun stop etmesi; B. Geçerli bir neden olmadan yavaş araç kullanma; C. Yakıt tükenmesi nedeniyle aracın durması,"Karayolu trafiğinde önlenebilir bir engel, motorun boğulmasıdır. Bu, her şeyden önce bir acemi hatasıdır ve bunun sonucunda arkadan çarpma kazaları meydana gelebilir. Ancak bu uzak ve yoğun olmayan yollarda pratik yaparak kolayca çözülebilir. Ayrıca, trafik kurallarına göre, aracın yolda kalmasını önlemek için her aracın zamanında yakıt ikmali yapması gerekir. Sonuçta, aracınızı makul bir hızda sürmek bir sürücü olarak görevinizdir, yani hiçbir sebepten dolayı çok yavaş sürmeyin, çünkü aksi takdirde trafiği engelleyebilir ve bir kazaya neden olabilirsiniz.",,,https://www.clickclickdrive.de/fragenkatalog/tr/1.1.-tehlike-oegretimi/1.1.01-trafik-davranisinin-temel-bicimleri/1.1.01-102
Tema 1.1.,Tehlike Oegretimi,1.1.01 Bölüm,Trafik Davranisinin Temel Bicimleri,1.1.01-103,1.1.01-103,3 Puan,"Aracı gereksiz yere yavaş sürmek, neden yasaktır?",A. Trafik akımı engellendiği için; B. Arkadan çarpma suretiyle kaza meydana gelme tehlikesi yükseldiği için; C. Arkadan gelen araçlar tehlikeli sollama manevralarına teşvik edildiği için,A. Trafik akımı engellendiği için; B. Arkadan çarpma suretiyle kaza meydana gelme tehlikesi yükseldiği için; C. Arkadan gelen araçlar tehlikeli sollama manevralarına teşvik edildiği için,"Karayolu trafik yönetmeliği, trafik akışını engellediği ve kaza riskini büyük ölçüde artırdığı için gereksiz yere yavaş sürüşü yasaklamaktadır: çünkü bu takip eden karayolu kullanıcılarını görüşün iyi olmadığı yerlerde riskli sollama manevraları yapmaya teşvik etmektedir. Ayrıca, ortaya çıkan hız farkları nedeniyle arkadan çarpma riski de önemli ölçüde artar.",,,https://www.clickclickdrive.de/fragenkatalog/tr/1.1.-tehlike-oegretimi/1.1.01-trafik-davranisinin-temel-bicimleri/1.1.01-103
Tema 1.1.,Tehlike Oegretimi,1.1.01 Bölüm,Trafik Davranisinin Temel Bicimleri,1.1.01-104,1.1.01-104,4 Puan,Trafiğin tehlikeye sokulmasına hangi nedenler yol açabilir?,A. Lastiklerin aşınmış olması; B. Farların aşırı derecede yukarıya doğru ayarlanmış olması; C. Aracın göze batar şekilde boyanmış olması,A. Lastiklerin aşınmış olması; B. Farların aşırı derecede yukarıya doğru ayarlanmış olması,"Güvenliği tehdit eden risklerin arasında yanlış ayarlanmış farlar da sayılabilir. Çok düşük ayarlanmışlarsa, sürücü için zayıf bir görüşe neden olurlar. Çok yüksek ayarlanmış farlar, karşıdan gelen araçların görüşünü engelleyebilir ve ciddi kazalara neden olabilir. Lastiklerin profil derinliği önemli bir güvenlik faktörüdür. Yıpranmış lastikler ıslak yolda çok daha uzun bir fren mesafesine neden olur. Yasal olarak öngörülen 1,6 milimetre profil derinliği güvenlik açısından yeterli değildir. Bu profil derinliğinde bile, kızaklamaya maruz kalma riski çok yüksektir. Kızaklamaya uğramış bir araç kontrolsüz bir şekilde kayıp savrulur.",,,https://www.clickclickdrive.de/fragenkatalog/tr/1.1.-tehlike-oegretimi/1.1.01-trafik-davranisinin-temel-bicimleri/1.1.01-104
Tema 1.1.,Tehlike Oegretimi,1.1.01 Bölüm,Trafik Davranisinin Temel Bicimleri,1.1.01-107,1.1.01-107,4 Puan,Sürüş esnasında artık yorulmaya başladığınızı gösteren işaretler nelerdir?,A. Göz kapaklarının ağırlaşması; B. Sık sık esneme; C. Reaksiyon süresinin kısalması,A. Göz kapaklarının ağırlaşması; B. Sık sık esneme,"Araç sürüş esnasındaki yorulma, daha uzun reaksiyon sürelerine ve dikkatin azalmasına neden olur. Bu yorulmanın işaretleri arasında aşırı esneme de yer alır. Bunun dışında gözlerinizi açık tutmanın giderek zorlaşmasından da uyku eksikliğini farkedebilirsiniz.",,,https://www.clickclickdrive.de/fragenkatalog/tr/1.1.-tehlike-oegretimi/1.1.01-trafik-davranisinin-temel-bicimleri/1.1.01-107
Tema 1.1.,Tehlike Oegretimi,1.1.01 Bölüm,Trafik Davranisinin Temel Bicimleri,1.1.01-108,1.1.01-108,4 Puan,"Sürüş esnasındaki yorgunluk belirtilerini göz ardı etmeniz, hangi sonuçlara yol açabilir?",A. Saniyelik uykuya; B. Konsantrasyon eksikliğine; C. Sürüş hatalarına,A. Saniyelik uykuya; B. Konsantrasyon eksikliğine; C. Sürüş hatalarına,"Azalan konsantrasyon gibi ilk yorgunluk belirtilerini görmezden gelmemelisiniz, çünkü bunun sonucunda saniyelik uyku durumuna düşebilirsiniz. Bu da, genellikle ciddi, hatta bazen hayatı tehdit eden sürüş hatalarına yol açar.",,,https://www.clickclickdrive.de/fragenkatalog/tr/1.1.-tehlike-oegretimi/1.1.01-trafik-davranisinin-temel-bicimleri/1.1.01-108
Tema 1.1.,Tehlike Oegretimi,1.1.01 Bölüm,Trafik Davranisinin Temel Bicimleri,1.1.01-109,1.1.01-109,4 Puan,Sürüş esnasında kendinizde yorgunluk belirtileri hissettiğinizde ne yapmanız gerekir?,A. Derhal mola vermek; B. Açık havada hareket etmek; C. Uyarıcı müzik dinlemek,A. Derhal mola vermek; B. Açık havada hareket etmek,"Sürüş sırasında yorgunluk tehlikeli durumlara yol açabileceğinden, daha uzun mesafeler esnasında yeterli mola vermelisiniz. Bu tarz molalar verdiğinizde, dolaşımınızı düzenlemek için temiz havada yürümeniz önerilir.",,,https://www.clickclickdrive.de/fragenkatalog/tr/1.1.-tehlike-oegretimi/1.1.01-trafik-davranisinin-temel-bicimleri/1.1.01-109
